0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	2.000000000000000e-02	1.000000000000000e+00
0.000000000000000e+00	4.000000000000000e-02	1.000000000000000e+00
0.000000000000000e+00	6.000000000000000e-02	1.000000000000000e+00
0.000000000000000e+00	8.000000000000000e-02	1.000000000000000e+00
0.000000000000000e+00	1.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	1.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	1.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	1.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	1.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	2.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	2.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	2.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	2.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	2.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	3.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	3.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	3.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	3.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	3.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	4.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	4.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	4.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	4.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	4.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	5.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	5.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	5.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	5.600000000000001e-01	1.000000000000000e+00
0.000000000000000e+00	5.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	6.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	6.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	6.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	6.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	6.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	7.000000000000001e-01	1.000000000000000e+00
0.000000000000000e+00	7.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	7.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	7.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	7.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	8.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	8.200000000000001e-01	1.000000000000000e+00
0.000000000000000e+00	8.400000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	8.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	8.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	9.000000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	9.200000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	9.400000000000001e-01	1.000000000000000e+00
0.000000000000000e+00	9.600000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	9.800000000000000e-01	1.000000000000000e+00
0.000000000000000e+00	1.000000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.020000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.040000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.060000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.080000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.100000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.120000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.140000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.160000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.180000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.200000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.220000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.240000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.260000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.280000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.300000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.320000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.340000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.360000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.380000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.400000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.420000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.440000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.460000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.480000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.500000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.520000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.540000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.560000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.580000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.600000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.620000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.640000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.660000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.680000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.700000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.720000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.740000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.760000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.780000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.800000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.820000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.840000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.860000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.880000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.900000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.920000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.940000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.960000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	1.980000000000000e+00	1.000000000000000e+00
0.000000000000000e+00	2.000000000000000e+00	1.000000000000000e+00
2.000000000000000e-02	0.000000000000000e+00	1.000000000000000e+00
2.000000000000000e-02	2.000000000000000e-02	9.980286753286195e-01
2.000000000000000e-02	4.000000000000000e-02	9.960651305751043e-01
2.000000000000000e-02	6.000000000000000e-02	9.941171149535383e-01
2.000000000000000e-02	8.000000000000000e-02	9.921923163916162e-01
2.000000000000000e-02	1.000000000000000e-01	9.902983311899051e-01
2.000000000000000e-02	1.200000000000000e-01	9.884426340427165e-01
2.000000000000000e-02	1.400000000000000e-01	9.866325485389030e-01
2.000000000000000e-02	1.600000000000000e-01	9.848752182589989e-01
2.000000000000000e-02	1.800000000000000e-01	9.831775785827710e-01
2.000000000000000e-02	2.000000000000000e-01	9.815463293184435e-01
2.000000000000000e-02	2.200000000000000e-01	9.799879082616161e-01
